DEPARTAMENTO,period,CANTIDAD
AMAZONAS,2019-01-01,870
AMAZONAS,2019-02-01,789
AMAZONAS,2019-03-01,839
AMAZONAS,2019-04-01,771
AMAZONAS,2019-05-01,811
AMAZONAS,2019-06-01,889
AMAZONAS,2019-07-01,831
AMAZONAS,2019-08-01,879
AMAZONAS,2019-09-01,812
AMAZONAS,2019-10-01,916
AMAZONAS,2019-11-01,780
AMAZONAS,2019-12-01,779
AMAZONAS,2020-01-01,847
AMAZONAS,2020-02-01,860
AMAZONAS,2020-03-01,753
AMAZONAS,2020-04-01,282
AMAZONAS,2020-05-01,404
AMAZONAS,2020-06-01,507
AMAZONAS,2020-07-01,578
AMAZONAS,2020-08-01,689
AMAZONAS,2020-09-01,730
AMAZONAS,2020-10-01,743
AMAZONAS,2020-11-01,761
AMAZONAS,2020-12-01,761
AMAZONAS,2021-01-01,665
AMAZONAS,2021-02-01,633
AMAZONAS,2021-03-01,686
AMAZONAS,2021-04-01,659
AMAZONAS,2021-05-01,815
AMAZONAS,2021-06-01,761
AMAZONAS,2021-07-01,720
AMAZONAS,2021-08-01,804
AMAZONAS,2021-09-01,712
AMAZONAS,2021-10-01,731
AMAZONAS,2021-11-01,711
AMAZONAS,2021-12-01,776
AMAZONAS,2022-01-01,745
AMAZONAS,2022-02-01,675
AMAZONAS,2022-03-01,733
AMAZONAS,2022-04-01,724
AMAZONAS,2022-05-01,747
AMAZONAS,2022-06-01,748
AMAZONAS,2022-07-01,790
AMAZONAS,2022-08-01,795
AMAZONAS,2022-09-01,805
AMAZONAS,2022-10-01,797
AMAZONAS,2022-11-01,734
AMAZONAS,2022-12-01,745
AMAZONAS,2023-01-01,754
AMAZONAS,2023-02-01,796
AMAZONAS,2023-03-01,766
AMAZONAS,2023-04-01,766
AMAZONAS,2023-05-01,844
AMAZONAS,2023-06-01,751
AMAZONAS,2023-07-01,831
AMAZONAS,2023-08-01,886
AMAZONAS,2023-09-01,821
AMAZONAS,2023-10-01,888
AMAZONAS,2023-11-01,874
AMAZONAS,2023-12-01,862
AMAZONAS,2024-01-01,831
AMAZONAS,2024-02-01,807
AMAZONAS,2024-03-01,868
AMAZONAS,2024-04-01,818
AMAZONAS,2024-05-01,770
AMAZONAS,2024-06-01,838
AMAZONAS,2024-07-01,834
AMAZONAS,2024-08-01,872
AMAZONAS,2024-09-01,902
AMAZONAS,2024-10-01,837
AMAZONAS,2024-11-01,695
AMAZONAS,2024-12-01,718
AMAZONAS,2025-01-01,750
AMAZONAS,2025-02-01,672
AMAZONAS,2025-03-01,741
AMAZONAS,2025-04-01,761
AMAZONAS,2025-05-01,646
AMAZONAS,2025-06-01,640
AMAZONAS,2025-07-01,699
AMAZONAS,2025-08-01,506
ANCASH,2019-01-01,2559
ANCASH,2019-02-01,2285
ANCASH,2019-03-01,2679
ANCASH,2019-04-01,2491
ANCASH,2019-05-01,2766
ANCASH,2019-06-01,2545
ANCASH,2019-07-01,2683
ANCASH,2019-08-01,2696
ANCASH,2019-09-01,2624
ANCASH,2019-10-01,2694
ANCASH,2019-11-01,2770
ANCASH,2019-12-01,2872
ANCASH,2020-01-01,3166
ANCASH,2020-02-01,3076
ANCASH,2020-03-01,2112
ANCASH,2020-04-01,787
ANCASH,2020-05-01,1162
ANCASH,2020-06-01,1443
ANCASH,2020-07-01,1632
ANCASH,2020-08-01,1917
ANCASH,2020-09-01,2016
ANCASH,2020-10-01,2442
ANCASH,2020-11-01,2269
ANCASH,2020-12-01,2321
ANCASH,2021-01-01,2313
ANCASH,2021-02-01,1947
ANCASH,2021-03-01,2157
ANCASH,2021-04-01,1922
ANCASH,2021-05-01,2259
ANCASH,2021-06-01,2269
ANCASH,2021-07-01,2382
ANCASH,2021-08-01,2364
ANCASH,2021-09-01,2327
ANCASH,2021-10-01,2476
ANCASH,2021-11-01,2308
ANCASH,2021-12-01,2371
ANCASH,2022-01-01,2361
ANCASH,2022-02-01,2377
ANCASH,2022-03-01,2835
ANCASH,2022-04-01,2579
ANCASH,2022-05-01,2566
ANCASH,2022-06-01,2389
ANCASH,2022-07-01,2520
ANCASH,2022-08-01,2453
ANCASH,2022-09-01,2558
ANCASH,2022-10-01,2553
ANCASH,2022-11-01,2381
ANCASH,2022-12-01,2449
ANCASH,2023-01-01,2515
ANCASH,2023-02-01,2528
ANCASH,2023-03-01,2590
ANCASH,2023-04-01,2756
ANCASH,2023-05-01,2817
ANCASH,2023-06-01,2590
ANCASH,2023-07-01,2773
ANCASH,2023-08-01,2597
ANCASH,2023-09-01,2535
ANCASH,2023-10-01,2795
ANCASH,2023-11-01,2463
ANCASH,2023-12-01,2526
ANCASH,2024-01-01,2658
ANCASH,2024-02-01,2651
ANCASH,2024-03-01,2720
ANCASH,2024-04-01,2623
ANCASH,2024-05-01,2631
ANCASH,2024-06-01,2538
ANCASH,2024-07-01,2679
ANCASH,2024-08-01,2765
ANCASH,2024-09-01,2725
ANCASH,2024-10-01,2508
ANCASH,2024-11-01,2254
ANCASH,2024-12-01,2377
ANCASH,2025-01-01,2327
ANCASH,2025-02-01,2189
ANCASH,2025-03-01,2466
ANCASH,2025-04-01,2286
ANCASH,2025-05-01,2219
ANCASH,2025-06-01,2191
ANCASH,2025-07-01,2184
ANCASH,2025-08-01,1783
APURIMAC,2019-01-01,819
APURIMAC,2019-02-01,769
APURIMAC,2019-03-01,866
APURIMAC,2019-04-01,857
APURIMAC,2019-05-01,898
APURIMAC,2019-06-01,1059
APURIMAC,2019-07-01,1137
APURIMAC,2019-08-01,991
APURIMAC,2019-09-01,1080
APURIMAC,2019-10-01,1149
APURIMAC,2019-11-01,1126
APURIMAC,2019-12-01,1042
APURIMAC,2020-01-01,1180
APURIMAC,2020-02-01,1181
APURIMAC,2020-03-01,809
APURIMAC,2020-04-01,348
APURIMAC,2020-05-01,588
APURIMAC,2020-06-01,841
APURIMAC,2020-07-01,926
APURIMAC,2020-08-01,837
APURIMAC,2020-09-01,909
APURIMAC,2020-10-01,1037
APURIMAC,2020-11-01,1104
APURIMAC,2020-12-01,1115
APURIMAC,2021-01-01,1063
APURIMAC,2021-02-01,826
APURIMAC,2021-03-01,1052
APURIMAC,2021-04-01,919
APURIMAC,2021-05-01,977
APURIMAC,2021-06-01,881
APURIMAC,2021-07-01,1030
APURIMAC,2021-08-01,1071
APURIMAC,2021-09-01,1029
APURIMAC,2021-10-01,1169
APURIMAC,2021-11-01,1010
APURIMAC,2021-12-01,1099
APURIMAC,2022-01-01,943
APURIMAC,2022-02-01,877
APURIMAC,2022-03-01,1022
APURIMAC,2022-04-01,971
APURIMAC,2022-05-01,969
APURIMAC,2022-06-01,941
APURIMAC,2022-07-01,1016
APURIMAC,2022-08-01,925
APURIMAC,2022-09-01,942
APURIMAC,2022-10-01,1003
APURIMAC,2022-11-01,965
APURIMAC,2022-12-01,873
APURIMAC,2023-01-01,833
APURIMAC,2023-02-01,864
APURIMAC,2023-03-01,962
APURIMAC,2023-04-01,947
APURIMAC,2023-05-01,977
APURIMAC,2023-06-01,952
APURIMAC,2023-07-01,1023
APURIMAC,2023-08-01,1004
APURIMAC,2023-09-01,1011
APURIMAC,2023-10-01,1001
APURIMAC,2023-11-01,1017
APURIMAC,2023-12-01,1030
APURIMAC,2024-01-01,965
APURIMAC,2024-02-01,963
APURIMAC,2024-03-01,1045
APURIMAC,2024-04-01,1001
APURIMAC,2024-05-01,938
APURIMAC,2024-06-01,964
APURIMAC,2024-07-01,1034
APURIMAC,2024-08-01,1026
APURIMAC,2024-09-01,1095
APURIMAC,2024-10-01,998
APURIMAC,2024-11-01,963
APURIMAC,2024-12-01,1073
APURIMAC,2025-01-01,1043
APURIMAC,2025-02-01,920
APURIMAC,2025-03-01,1057
APURIMAC,2025-04-01,887
APURIMAC,2025-05-01,983
APURIMAC,2025-06-01,867
APURIMAC,2025-07-01,798
APURIMAC,2025-08-01,649
AREQUIPA,2019-01-01,4869
AREQUIPA,2019-02-01,4371
AREQUIPA,2019-03-01,5582
AREQUIPA,2019-04-01,4947
AREQUIPA,2019-05-01,5021
AREQUIPA,2019-06-01,5017
AREQUIPA,2019-07-01,4878
AREQUIPA,2019-08-01,4703
AREQUIPA,2019-09-01,4870
AREQUIPA,2019-10-01,5096
AREQUIPA,2019-11-01,4992
AREQUIPA,2019-12-01,5017
AREQUIPA,2020-01-01,5431
AREQUIPA,2020-02-01,5299
AREQUIPA,2020-03-01,4216
AREQUIPA,2020-04-01,1946
AREQUIPA,2020-05-01,2725
AREQUIPA,2020-06-01,3010
AREQUIPA,2020-07-01,3018
AREQUIPA,2020-08-01,3499
AREQUIPA,2020-09-01,3989
AREQUIPA,2020-10-01,4605
AREQUIPA,2020-11-01,4686
AREQUIPA,2020-12-01,4429
AREQUIPA,2021-01-01,4586
AREQUIPA,2021-02-01,3650
AREQUIPA,2021-03-01,4389
AREQUIPA,2021-04-01,4114
AREQUIPA,2021-05-01,4368
AREQUIPA,2021-06-01,3925
AREQUIPA,2021-07-01,4362
AREQUIPA,2021-08-01,4622
AREQUIPA,2021-09-01,4612
AREQUIPA,2021-10-01,4723
AREQUIPA,2021-11-01,4838
AREQUIPA,2021-12-01,4867
AREQUIPA,2022-01-01,4613
AREQUIPA,2022-02-01,4745
AREQUIPA,2022-03-01,5709
AREQUIPA,2022-04-01,5517
AREQUIPA,2022-05-01,5404
AREQUIPA,2022-06-01,5103
AREQUIPA,2022-07-01,5239
AREQUIPA,2022-08-01,5216
AREQUIPA,2022-09-01,5461
AREQUIPA,2022-10-01,5418
AREQUIPA,2022-11-01,5320
AREQUIPA,2022-12-01,5053
AREQUIPA,2023-01-01,5087
AREQUIPA,2023-02-01,5308
AREQUIPA,2023-03-01,6213
AREQUIPA,2023-04-01,6424
AREQUIPA,2023-05-01,6240
AREQUIPA,2023-06-01,6245
AREQUIPA,2023-07-01,6278
AREQUIPA,2023-08-01,6210
AREQUIPA,2023-09-01,6199
AREQUIPA,2023-10-01,6565
AREQUIPA,2023-11-01,6227
AREQUIPA,2023-12-01,6138
AREQUIPA,2024-01-01,6223
AREQUIPA,2024-02-01,5747
AREQUIPA,2024-03-01,6391
AREQUIPA,2024-04-01,6214
AREQUIPA,2024-05-01,5712
AREQUIPA,2024-06-01,5679
AREQUIPA,2024-07-01,5855
AREQUIPA,2024-08-01,5622
AREQUIPA,2024-09-01,5434
AREQUIPA,2024-10-01,5265
AREQUIPA,2024-11-01,4830
AREQUIPA,2024-12-01,4828
AREQUIPA,2025-01-01,4689
AREQUIPA,2025-02-01,4454
AREQUIPA,2025-03-01,5143
AREQUIPA,2025-04-01,4865
AREQUIPA,2025-05-01,4834
AREQUIPA,2025-06-01,4318
AREQUIPA,2025-07-01,4223
AREQUIPA,2025-08-01,3783
AYACUCHO,2019-01-01,925
AYACUCHO,2019-02-01,811
AYACUCHO,2019-03-01,984
AYACUCHO,2019-04-01,929
AYACUCHO,2019-05-01,1004
AYACUCHO,2019-06-01,1005
AYACUCHO,2019-07-01,1050
AYACUCHO,2019-08-01,1017
AYACUCHO,2019-09-01,1104
AYACUCHO,2019-10-01,1162
AYACUCHO,2019-11-01,1175
AYACUCHO,2019-12-01,1095
AYACUCHO,2020-01-01,1195
AYACUCHO,2020-02-01,1292
AYACUCHO,2020-03-01,883
AYACUCHO,2020-04-01,363
AYACUCHO,2020-05-01,572
AYACUCHO,2020-06-01,726
AYACUCHO,2020-07-01,931
AYACUCHO,2020-08-01,932
AYACUCHO,2020-09-01,954
AYACUCHO,2020-10-01,988
AYACUCHO,2020-11-01,1068
AYACUCHO,2020-12-01,1011
AYACUCHO,2021-01-01,1011
AYACUCHO,2021-02-01,898
AYACUCHO,2021-03-01,969
AYACUCHO,2021-04-01,921
AYACUCHO,2021-05-01,1001
AYACUCHO,2021-06-01,1058
AYACUCHO,2021-07-01,1210
AYACUCHO,2021-08-01,1163
AYACUCHO,2021-09-01,1076
AYACUCHO,2021-10-01,1205
AYACUCHO,2021-11-01,1145
AYACUCHO,2021-12-01,1154
AYACUCHO,2022-01-01,1128
AYACUCHO,2022-02-01,1039
AYACUCHO,2022-03-01,1281
AYACUCHO,2022-04-01,1314
AYACUCHO,2022-05-01,1282
AYACUCHO,2022-06-01,1272
AYACUCHO,2022-07-01,1298
AYACUCHO,2022-08-01,1243
AYACUCHO,2022-09-01,1043
AYACUCHO,2022-10-01,1127
AYACUCHO,2022-11-01,1048
AYACUCHO,2022-12-01,1093
AYACUCHO,2023-01-01,1213
AYACUCHO,2023-02-01,1262
AYACUCHO,2023-03-01,1355
AYACUCHO,2023-04-01,1553
AYACUCHO,2023-05-01,1280
AYACUCHO,2023-06-01,1315
AYACUCHO,2023-07-01,1395
AYACUCHO,2023-08-01,1412
AYACUCHO,2023-09-01,1343
AYACUCHO,2023-10-01,1522
AYACUCHO,2023-11-01,1462
AYACUCHO,2023-12-01,1446
AYACUCHO,2024-01-01,1412
AYACUCHO,2024-02-01,1544
AYACUCHO,2024-03-01,1869
AYACUCHO,2024-04-01,1472
AYACUCHO,2024-05-01,1475
AYACUCHO,2024-06-01,1337
AYACUCHO,2024-07-01,1411
AYACUCHO,2024-08-01,1479
AYACUCHO,2024-09-01,1502
AYACUCHO,2024-10-01,1416
AYACUCHO,2024-11-01,1212
AYACUCHO,2024-12-01,1264
AYACUCHO,2025-01-01,1265
AYACUCHO,2025-02-01,1174
AYACUCHO,2025-03-01,1292
AYACUCHO,2025-04-01,1379
AYACUCHO,2025-05-01,1127
AYACUCHO,2025-06-01,1115
AYACUCHO,2025-07-01,1068
AYACUCHO,2025-08-01,960
CAJAMARCA,2019-01-01,1553
CAJAMARCA,2019-02-01,1419
CAJAMARCA,2019-03-01,1621
CAJAMARCA,2019-04-01,1515
CAJAMARCA,2019-05-01,1625
CAJAMARCA,2019-06-01,1475
CAJAMARCA,2019-07-01,1607
CAJAMARCA,2019-08-01,1566
CAJAMARCA,2019-09-01,1572
CAJAMARCA,2019-10-01,1718
CAJAMARCA,2019-11-01,1748
CAJAMARCA,2019-12-01,1688
CAJAMARCA,2020-01-01,1792
CAJAMARCA,2020-02-01,1917
CAJAMARCA,2020-03-01,1308
CAJAMARCA,2020-04-01,627
CAJAMARCA,2020-05-01,1034
CAJAMARCA,2020-06-01,1248
CAJAMARCA,2020-07-01,1279
CAJAMARCA,2020-08-01,1466
CAJAMARCA,2020-09-01,1611
CAJAMARCA,2020-10-01,1677
CAJAMARCA,2020-11-01,1816
CAJAMARCA,2020-12-01,1783
CAJAMARCA,2021-01-01,1869
CAJAMARCA,2021-02-01,1669
CAJAMARCA,2021-03-01,1685
CAJAMARCA,2021-04-01,1524
CAJAMARCA,2021-05-01,1646
CAJAMARCA,2021-06-01,1594
CAJAMARCA,2021-07-01,1835
CAJAMARCA,2021-08-01,1821
CAJAMARCA,2021-09-01,1677
CAJAMARCA,2021-10-01,1827
CAJAMARCA,2021-11-01,1746
CAJAMARCA,2021-12-01,1746
CAJAMARCA,2022-01-01,1793
CAJAMARCA,2022-02-01,1567
CAJAMARCA,2022-03-01,1881
CAJAMARCA,2022-04-01,1865
CAJAMARCA,2022-05-01,1906
CAJAMARCA,2022-06-01,1843
CAJAMARCA,2022-07-01,2060
CAJAMARCA,2022-08-01,1951
CAJAMARCA,2022-09-01,1857
CAJAMARCA,2022-10-01,1974
CAJAMARCA,2022-11-01,1923
CAJAMARCA,2022-12-01,1891
CAJAMARCA,2023-01-01,2113
CAJAMARCA,2023-02-01,2234
CAJAMARCA,2023-03-01,2183
CAJAMARCA,2023-04-01,2210
CAJAMARCA,2023-05-01,2224
CAJAMARCA,2023-06-01,2143
CAJAMARCA,2023-07-01,2204
CAJAMARCA,2023-08-01,2075
CAJAMARCA,2023-09-01,2043
CAJAMARCA,2023-10-01,2035
CAJAMARCA,2023-11-01,2011
CAJAMARCA,2023-12-01,2065
CAJAMARCA,2024-01-01,2169
CAJAMARCA,2024-02-01,2597
CAJAMARCA,2024-03-01,2292
CAJAMARCA,2024-04-01,2055
CAJAMARCA,2024-05-01,2218
CAJAMARCA,2024-06-01,2147
CAJAMARCA,2024-07-01,2109
CAJAMARCA,2024-08-01,2061
CAJAMARCA,2024-09-01,2084
CAJAMARCA,2024-10-01,2128
CAJAMARCA,2024-11-01,1958
CAJAMARCA,2024-12-01,1829
CAJAMARCA,2025-01-01,1900
CAJAMARCA,2025-02-01,1824
CAJAMARCA,2025-03-01,2064
CAJAMARCA,2025-04-01,1812
CAJAMARCA,2025-05-01,1726
CAJAMARCA,2025-06-01,1636
CAJAMARCA,2025-07-01,1578
CAJAMARCA,2025-08-01,1394
CUSCO,2019-01-01,3109
CUSCO,2019-02-01,2718
CUSCO,2019-03-01,3311
CUSCO,2019-04-01,2971
CUSCO,2019-05-01,3224
CUSCO,2019-06-01,2976
CUSCO,2019-07-01,3035
CUSCO,2019-08-01,2969
CUSCO,2019-09-01,3020
CUSCO,2019-10-01,3012
CUSCO,2019-11-01,2958
CUSCO,2019-12-01,3110
CUSCO,2020-01-01,3462
CUSCO,2020-02-01,3149
CUSCO,2020-03-01,2219
CUSCO,2020-04-01,905
CUSCO,2020-05-01,1406
CUSCO,2020-06-01,1978
CUSCO,2020-07-01,2505
CUSCO,2020-08-01,2137
CUSCO,2020-09-01,2364
CUSCO,2020-10-01,2806
CUSCO,2020-11-01,2855
CUSCO,2020-12-01,2673
CUSCO,2021-01-01,2742
CUSCO,2021-02-01,2288
CUSCO,2021-03-01,2670
CUSCO,2021-04-01,2560
CUSCO,2021-05-01,2662
CUSCO,2021-06-01,2643
CUSCO,2021-07-01,2855
CUSCO,2021-08-01,2855
CUSCO,2021-09-01,2824
CUSCO,2021-10-01,2923
CUSCO,2021-11-01,2767
CUSCO,2021-12-01,2793
CUSCO,2022-01-01,2597
CUSCO,2022-02-01,2690
CUSCO,2022-03-01,3091
CUSCO,2022-04-01,2905
CUSCO,2022-05-01,3062
CUSCO,2022-06-01,2832
CUSCO,2022-07-01,3057
CUSCO,2022-08-01,2919
CUSCO,2022-09-01,3089
CUSCO,2022-10-01,3162
CUSCO,2022-11-01,2950
CUSCO,2022-12-01,2748
CUSCO,2023-01-01,2858
CUSCO,2023-02-01,2993
CUSCO,2023-03-01,3256
CUSCO,2023-04-01,3111
CUSCO,2023-05-01,3341
CUSCO,2023-06-01,3288
CUSCO,2023-07-01,3393
CUSCO,2023-08-01,3492
CUSCO,2023-09-01,3409
CUSCO,2023-10-01,3914
CUSCO,2023-11-01,3703
CUSCO,2023-12-01,3332
CUSCO,2024-01-01,3463
CUSCO,2024-02-01,3264
CUSCO,2024-03-01,3649
CUSCO,2024-04-01,3434
CUSCO,2024-05-01,3294
CUSCO,2024-06-01,3513
CUSCO,2024-07-01,3340
CUSCO,2024-08-01,3466
CUSCO,2024-09-01,3285
CUSCO,2024-10-01,3214
CUSCO,2024-11-01,2929
CUSCO,2024-12-01,2993
CUSCO,2025-01-01,3008
CUSCO,2025-02-01,2856
CUSCO,2025-03-01,3069
CUSCO,2025-04-01,2968
CUSCO,2025-05-01,2901
CUSCO,2025-06-01,2877
CUSCO,2025-07-01,2849
CUSCO,2025-08-01,2587
HUANCAVELICA,2019-01-01,214
HUANCAVELICA,2019-02-01,164
HUANCAVELICA,2019-03-01,214
HUANCAVELICA,2019-04-01,208
HUANCAVELICA,2019-05-01,239
HUANCAVELICA,2019-06-01,240
HUANCAVELICA,2019-07-01,217
HUANCAVELICA,2019-08-01,197
HUANCAVELICA,2019-09-01,214
HUANCAVELICA,2019-10-01,190
HUANCAVELICA,2019-11-01,239
HUANCAVELICA,2019-12-01,238
HUANCAVELICA,2020-01-01,290
HUANCAVELICA,2020-02-01,257
HUANCAVELICA,2020-03-01,218
HUANCAVELICA,2020-04-01,118
HUANCAVELICA,2020-05-01,168
HUANCAVELICA,2020-06-01,257
HUANCAVELICA,2020-07-01,242
HUANCAVELICA,2020-08-01,195
HUANCAVELICA,2020-09-01,274
HUANCAVELICA,2020-10-01,345
HUANCAVELICA,2020-11-01,335
HUANCAVELICA,2020-12-01,359
HUANCAVELICA,2021-01-01,302
HUANCAVELICA,2021-02-01,261
HUANCAVELICA,2021-03-01,314
HUANCAVELICA,2021-04-01,305
HUANCAVELICA,2021-05-01,381
HUANCAVELICA,2021-06-01,423
HUANCAVELICA,2021-07-01,456
HUANCAVELICA,2021-08-01,436
HUANCAVELICA,2021-09-01,447
HUANCAVELICA,2021-10-01,431
HUANCAVELICA,2021-11-01,376
HUANCAVELICA,2021-12-01,406
HUANCAVELICA,2022-01-01,375
HUANCAVELICA,2022-02-01,316
HUANCAVELICA,2022-03-01,424
HUANCAVELICA,2022-04-01,381
HUANCAVELICA,2022-05-01,411
HUANCAVELICA,2022-06-01,333
HUANCAVELICA,2022-07-01,427
HUANCAVELICA,2022-08-01,380
HUANCAVELICA,2022-09-01,339
HUANCAVELICA,2022-10-01,385
HUANCAVELICA,2022-11-01,367
HUANCAVELICA,2022-12-01,354
HUANCAVELICA,2023-01-01,352
HUANCAVELICA,2023-02-01,330
HUANCAVELICA,2023-03-01,354
HUANCAVELICA,2023-04-01,354
HUANCAVELICA,2023-05-01,387
HUANCAVELICA,2023-06-01,345
HUANCAVELICA,2023-07-01,388
HUANCAVELICA,2023-08-01,365
HUANCAVELICA,2023-09-01,384
HUANCAVELICA,2023-10-01,376
HUANCAVELICA,2023-11-01,379
HUANCAVELICA,2023-12-01,373
HUANCAVELICA,2024-01-01,368
HUANCAVELICA,2024-02-01,334
HUANCAVELICA,2024-03-01,316
HUANCAVELICA,2024-04-01,360
HUANCAVELICA,2024-05-01,353
HUANCAVELICA,2024-06-01,373
HUANCAVELICA,2024-07-01,384
HUANCAVELICA,2024-08-01,392
HUANCAVELICA,2024-09-01,346
HUANCAVELICA,2024-10-01,340
HUANCAVELICA,2024-11-01,362
HUANCAVELICA,2024-12-01,381
HUANCAVELICA,2025-01-01,349
HUANCAVELICA,2025-02-01,292
HUANCAVELICA,2025-03-01,299
HUANCAVELICA,2025-04-01,355
HUANCAVELICA,2025-05-01,296
HUANCAVELICA,2025-06-01,286
HUANCAVELICA,2025-07-01,285
HUANCAVELICA,2025-08-01,234
HUANUCO,2019-01-01,1048
HUANUCO,2019-02-01,903
HUANUCO,2019-03-01,1100
HUANUCO,2019-04-01,1101
HUANUCO,2019-05-01,1119
HUANUCO,2019-06-01,1131
HUANUCO,2019-07-01,1128
HUANUCO,2019-08-01,1210
HUANUCO,2019-09-01,1253
HUANUCO,2019-10-01,1261
HUANUCO,2019-11-01,1336
HUANUCO,2019-12-01,1336
HUANUCO,2020-01-01,1542
HUANUCO,2020-02-01,1524
HUANUCO,2020-03-01,1109
HUANUCO,2020-04-01,490
HUANUCO,2020-05-01,708
HUANUCO,2020-06-01,874
HUANUCO,2020-07-01,894
HUANUCO,2020-08-01,1034
HUANUCO,2020-09-01,1132
HUANUCO,2020-10-01,1373
HUANUCO,2020-11-01,1370
HUANUCO,2020-12-01,1329
HUANUCO,2021-01-01,1237
HUANUCO,2021-02-01,1027
HUANUCO,2021-03-01,1225
HUANUCO,2021-04-01,1300
HUANUCO,2021-05-01,1404
HUANUCO,2021-06-01,1326
HUANUCO,2021-07-01,1454
HUANUCO,2021-08-01,1562
HUANUCO,2021-09-01,1371
HUANUCO,2021-10-01,1513
HUANUCO,2021-11-01,1458
HUANUCO,2021-12-01,1521
