DEPARTAMENTO,period,MONTO_DEVENGADO
AMAZONAS,2019-01-01,48414.42
AMAZONAS,2019-02-01,175433.31
AMAZONAS,2019-03-01,194099.32
AMAZONAS,2019-04-01,313470.78
AMAZONAS,2019-05-01,256340.76
AMAZONAS,2019-06-01,414330.41
AMAZONAS,2019-07-01,263736.17
AMAZONAS,2019-08-01,279497.97000000003
AMAZONAS,2019-09-01,272330.88
AMAZONAS,2019-10-01,306909.25
AMAZONAS,2019-11-01,234940.54
AMAZONAS,2019-12-01,431017.66
AMAZONAS,2020-01-01,146877.81
AMAZONAS,2020-02-01,236063.91999999998
AMAZONAS,2020-03-01,287011.87
AMAZONAS,2020-04-01,192253.71000000002
AMAZONAS,2020-05-01,258877.33
AMAZONAS,2020-06-01,448145.46
AMAZONAS,2020-07-01,629682.16
AMAZONAS,2020-08-01,350363.23
AMAZONAS,2020-09-01,629583.29
AMAZONAS,2020-10-01,389986.78
AMAZONAS,2020-11-01,825107.12
AMAZONAS,2020-12-01,888968.11
AMAZONAS,2021-01-01,215525.44
AMAZONAS,2021-02-01,269524.3
AMAZONAS,2021-03-01,504202.68
AMAZONAS,2021-04-01,235185.74
AMAZONAS,2021-05-01,379927.79000000004
AMAZONAS,2021-06-01,332188.31
AMAZONAS,2021-07-01,378160.18
AMAZONAS,2021-08-01,382210.81
AMAZONAS,2021-09-01,384985.62
AMAZONAS,2021-10-01,351042.72
AMAZONAS,2021-11-01,296226.3
AMAZONAS,2021-12-01,630728.73
AMAZONAS,2022-01-01,155958.77
AMAZONAS,2022-02-01,358302.65
AMAZONAS,2022-03-01,503816.94999999995
AMAZONAS,2022-04-01,366361.16000000003
AMAZONAS,2022-05-01,487772.79
AMAZONAS,2022-06-01,389617.26
AMAZONAS,2022-07-01,481138.42
AMAZONAS,2022-08-01,347762.01
AMAZONAS,2022-09-01,293197.43
AMAZONAS,2022-10-01,368393.38
AMAZONAS,2022-11-01,298699.72
AMAZONAS,2022-12-01,409798.35
AMAZONAS,2023-01-01,107240.77
AMAZONAS,2023-02-01,327191.96
AMAZONAS,2023-03-01,282069.27
AMAZONAS,2023-04-01,289527.02
AMAZONAS,2023-05-01,435940.08
AMAZONAS,2023-06-01,355768.2
AMAZONAS,2023-07-01,495978.25
AMAZONAS,2023-08-01,402876.81
AMAZONAS,2023-09-01,293899.66
AMAZONAS,2023-10-01,710996.5
AMAZONAS,2023-11-01,319713.02
AMAZONAS,2023-12-01,992868.92
AMAZONAS,2024-01-01,228498.21
AMAZONAS,2024-02-01,1035516.38
AMAZONAS,2024-03-01,978295.9199999999
AMAZONAS,2024-04-01,930012.3300000001
AMAZONAS,2024-05-01,1111389.08
AMAZONAS,2024-06-01,842183.0299999999
AMAZONAS,2024-07-01,1158637.1
AMAZONAS,2024-08-01,449272.26
AMAZONAS,2024-09-01,432466.88
AMAZONAS,2024-10-01,494691.64
AMAZONAS,2024-11-01,464121.39
AMAZONAS,2025-01-01,1379856.2400000002
AMAZONAS,2025-02-01,944205.66
AMAZONAS,2025-03-01,1275283.8699999999
AMAZONAS,2025-04-01,485117.54
AMAZONAS,2025-05-01,549300.35
AMAZONAS,2025-06-01,393404.49
AMAZONAS,2025-07-01,635178.04
AMAZONAS,2025-08-01,418619.99
ANCASH,2019-01-01,331735.73
ANCASH,2019-02-01,1030721.55
ANCASH,2019-03-01,2375034.61
ANCASH,2019-04-01,6831617.84
ANCASH,2019-05-01,2416818.63
ANCASH,2019-06-01,2669224.2600000002
ANCASH,2019-07-01,3430850.84
ANCASH,2019-08-01,2483439.0
ANCASH,2019-09-01,2919248.48
ANCASH,2019-10-01,2527555.17
ANCASH,2019-11-01,2759187.56
ANCASH,2019-12-01,5211859.67
ANCASH,2020-01-01,861380.65
ANCASH,2020-02-01,3150454.52
ANCASH,2020-03-01,2896344.04
ANCASH,2020-04-01,1715267.59
ANCASH,2020-05-01,2394760.33
ANCASH,2020-06-01,3128872.58
ANCASH,2020-07-01,4718706.06
ANCASH,2020-08-01,3177960.06
ANCASH,2020-09-01,4118651.79
ANCASH,2020-10-01,3262508.55
ANCASH,2020-11-01,4002458.21
ANCASH,2020-12-01,7624730.7
ANCASH,2021-01-01,1814949.83
ANCASH,2021-02-01,3077430.8
ANCASH,2021-03-01,4325846.34
ANCASH,2021-04-01,3570081.29
ANCASH,2021-05-01,3087873.38
ANCASH,2021-06-01,2755473.84
ANCASH,2021-07-01,5513648.49
ANCASH,2021-08-01,3832221.95
ANCASH,2021-09-01,3537504.2600000002
ANCASH,2021-10-01,2658265.7800000003
ANCASH,2021-11-01,4143670.95
ANCASH,2021-12-01,7615040.66
ANCASH,2022-01-01,3413240.37
ANCASH,2022-02-01,2866371.91
ANCASH,2022-03-01,3604885.31
ANCASH,2022-04-01,3359520.54
ANCASH,2022-05-01,4772013.54
ANCASH,2022-06-01,3787635.87
ANCASH,2022-07-01,4423833.06
ANCASH,2022-08-01,4049312.09
ANCASH,2022-09-01,4246169.16
ANCASH,2022-10-01,5273267.93
ANCASH,2022-11-01,3394668.82
ANCASH,2022-12-01,5223046.51
ANCASH,2023-01-01,3063880.79
ANCASH,2023-02-01,3196182.89
ANCASH,2023-03-01,3547671.36
ANCASH,2023-04-01,3175452.63
ANCASH,2023-05-01,4578972.35
ANCASH,2023-06-01,3543660.43
ANCASH,2023-07-01,4216263.18
ANCASH,2023-08-01,5096037.79
ANCASH,2023-09-01,3933539.76
ANCASH,2023-10-01,3940599.53
ANCASH,2023-11-01,3953777.68
ANCASH,2023-12-01,7871120.48
ANCASH,2024-01-01,2872114.63
ANCASH,2024-02-01,3697916.7399999998
ANCASH,2024-03-01,3797546.59
ANCASH,2024-04-01,4375344.42
ANCASH,2024-05-01,5895920.25
ANCASH,2024-06-01,4325898.27
ANCASH,2024-07-01,6337177.6
ANCASH,2024-08-01,3400277.49
ANCASH,2024-09-01,4849783.36
ANCASH,2024-10-01,4070609.7
ANCASH,2024-11-01,5651858.58
ANCASH,2024-12-01,7607011.35
ANCASH,2025-01-01,5140268.66
ANCASH,2025-02-01,4738382.14
ANCASH,2025-03-01,6009829.33
ANCASH,2025-04-01,4439339.95
ANCASH,2025-05-01,5889910.38
ANCASH,2025-06-01,5119662.17
ANCASH,2025-07-01,6684047.92
ANCASH,2025-08-01,4183628.14
APURIMAC,2019-01-01,1940.0
APURIMAC,2019-02-01,243269.64
APURIMAC,2019-03-01,687504.53
APURIMAC,2019-04-01,796177.44
APURIMAC,2019-05-01,659451.51
APURIMAC,2019-06-01,698365.71
APURIMAC,2019-07-01,839672.73
APURIMAC,2019-08-01,1277585.0
APURIMAC,2019-09-01,984730.35
APURIMAC,2019-10-01,611371.63
APURIMAC,2019-11-01,735452.1699999999
APURIMAC,2019-12-01,1381189.71
APURIMAC,2020-01-01,145072.83000000002
APURIMAC,2020-02-01,395009.54000000004
APURIMAC,2020-03-01,596984.1699999999
APURIMAC,2020-04-01,610503.0
APURIMAC,2020-05-01,527495.52
APURIMAC,2020-06-01,627891.56
APURIMAC,2020-07-01,1207374.05
APURIMAC,2020-08-01,930075.35
APURIMAC,2020-09-01,2086411.9699999997
APURIMAC,2020-10-01,1181096.36
APURIMAC,2020-11-01,878696.38
APURIMAC,2020-12-01,2344906.6
APURIMAC,2021-01-01,40958.86
APURIMAC,2021-02-01,984856.7500000001
APURIMAC,2021-03-01,478649.79
APURIMAC,2021-04-01,414787.58
APURIMAC,2021-05-01,442755.45
APURIMAC,2021-06-01,583519.11
APURIMAC,2021-07-01,559229.88
APURIMAC,2021-08-01,829751.9500000001
APURIMAC,2021-09-01,1202988.31
APURIMAC,2021-10-01,461945.25
APURIMAC,2021-11-01,404534.76
APURIMAC,2021-12-01,1825088.25
APURIMAC,2022-01-01,122695.71999999999
APURIMAC,2022-02-01,426212.01
APURIMAC,2022-03-01,1073847.25
APURIMAC,2022-04-01,532615.24
APURIMAC,2022-05-01,665833.08
APURIMAC,2022-06-01,568998.38
APURIMAC,2022-07-01,701687.74
APURIMAC,2022-08-01,755630.8099999999
APURIMAC,2022-09-01,637858.79
APURIMAC,2022-10-01,533072.78
APURIMAC,2022-11-01,769684.6799999999
APURIMAC,2022-12-01,1527185.77
APURIMAC,2023-01-01,20227.19
APURIMAC,2023-02-01,521734.85
